injury_id,player_id,team_id,injury_date,acquired,relinquished,body_region,diagnosis,return_status
0,76102.0,,1951-12-25,False,True,,,
1,78638.0,1610612752.0,1952-12-26,False,True,side,tear,
2,76081.0,1610612752.0,1956-12-29,False,True,,,
3,76127.0,1610612747.0,1959-01-16,False,True,,,
4,76127.0,1610612747.0,1961-11-26,False,True,,,
5,76127.0,1610612747.0,1962-03-24,True,False,,,
6,76127.0,1610612747.0,1962-03-31,True,False,,,
7,76708.0,,1962-10-25,False,True,,,
8,76708.0,,1962-11-06,True,False,,,
9,76708.0,,1962-11-14,False,True,knee,,
10,76577.0,1610612765.0,1965-09-11,False,True,,,
11,76865.0,1610612749.0,1969-10-15,False,True,ankle,sprain,
12,76865.0,1610612749.0,1969-10-28,True,False,,,
13,76065.0,1610612749.0,1969-12-03,False,True,,,
14,78003.0,1610612749.0,1970-01-24,False,True,leg,tear,
15,,,1971-09-15,False,True,,,
16,,,1971-10-30,True,False,,,
17,77243.0,,1971-11-08,True,False,,,
18,78469.0,1610612739.0,1972-10-10,False,True,,,
19,77973.0,1610612739.0,1972-11-04,False,True,hamstring,pulled,
20,,,1972-11-10,False,True,,,
21,76558.0,,1972-11-11,False,True,,,
22,,,1972-11-28,True,False,,,
23,76558.0,,1972-12-16,True,False,,,
24,76867.0,1610612758.0,1973-02-24,False,True,,,
25,78069.0,1610612758.0,1973-02-24,True,False,,,
26,76192.0,1610612741.0,1973-03-19,True,False,,,
27,77147.0,1610612745.0,1973-11-07,True,False,,,
28,76505.0,1610612758.0,1973-11-17,False,True,hand,fracture,
29,76505.0,1610612758.0,1973-12-20,True,False,,,
30,600006.0,1610612752.0,1973-12-22,True,False,,,
31,,,1974-01-31,True,False,,,
33,76485.0,1610612749.0,1974-03-27,True,False,,,
32,76027.0,1610612749.0,1974-03-27,False,True,knee,tear,out-for-season
35,76485.0,1610612749.0,1974-10-16,True,False,,,
34,76003.0,1610612749.0,1974-10-16,False,True,"eye,hand","fracture,tear",
36,77534.0,,1974-10-17,True,False,,,
39,77875.0,1610612752.0,1974-10-28,True,False,,,
38,76529.0,1610612752.0,1974-10-28,False,True,shoulder,,
37,76485.0,1610612749.0,1974-10-28,False,True,,,
40,78000.0,,1974-11-05,True,False,,,
41,76761.0,,1974-11-07,False,True,thigh,tear,
42,76529.0,1610612752.0,1974-11-14,True,False,,,
43,,,1974-11-21,False,True,calf,tear,
44,77074.0,1610612737.0,1974-12-05,False,True,elbow,inflammation,
45,76112.0,,1975-01-23,False,True,,infection,
46,,,1975-02-25,True,False,,,
47,76936.0,1610612738.0,1975-03-07,True,False,,,
48,77553.0,,1975-10-20,False,True,heel,bruise,
50,76728.0,1610612752.0,1975-10-22,False,True,,,
49,76663.0,1610612755.0,1975-10-22,False,True,,,
51,78322.0,1610612765.0,1975-10-22,False,True,,,
52,77553.0,,1975-11-11,True,False,,,
53,76728.0,1610612752.0,1975-11-24,True,False,,,
54,76140.0,1610612762.0,1976-01-17,False,True,eye,fracture,
55,76140.0,1610612762.0,1976-02-16,True,False,,,
56,,,1976-02-28,True,False,,,
62,77844.0,1610612737.0,1976-10-20,False,True,,,
60,78547.0,1610612739.0,1976-10-20,False,True,,,
59,78449.0,1610612749.0,1976-10-20,False,True,,,
58,76151.0,1610612755.0,1976-10-20,False,True,,,
61,78603.0,1610612739.0,1976-10-20,False,True,,,
64,76106.0,1610612752.0,1976-10-20,False,True,,,
65,77580.0,1610612765.0,1976-10-20,False,True,,,
67,,1610612744.0,1976-10-20,False,True,,,
63,76130.0,1610612752.0,1976-10-20,False,True,,,
57,77357.0,1610612755.0,1976-10-20,False,True,,,
66,78349.0,,1976-10-20,False,True,,,
68,77338.0,1610612747.0,1976-11-01,False,True,,,
69,77944.0,1610612749.0,1976-11-10,False,True,,,
70,77944.0,1610612749.0,1976-12-11,True,False,,,
71,77463.0,1610612741.0,1976-12-15,False,True,groin,,
72,78243.0,1610612741.0,1977-01-12,False,True,,,
73,76832.0,1610612762.0,1977-01-12,False,True,achilles,,
74,76146.0,1610612741.0,1977-02-02,False,True,,,
75,77316.0,1610612738.0,1977-09-30,False,True,,,
76,78471.0,1610612755.0,1977-10-17,False,True,,,
79,78305.0,1610612756.0,1977-10-17,False,True,,,
77,76350.0,1610612747.0,1977-10-17,False,True,,,
78,78349.0,,1977-10-17,False,True,,,
80,76003.0,1610612747.0,1977-10-18,False,True,hand,fracture,
81,76379.0,1610612747.0,1977-11-10,False,True,finger,fracture,
83,78308.0,1610612737.0,1977-11-14,False,True,,,
82,76767.0,1610612739.0,1977-11-14,False,True,,,
84,78400.0,1610612751.0,1977-11-14,False,True,,,
86,78150.0,1610612759.0,1977-11-14,False,True,,,
85,76634.0,1610612765.0,1977-11-14,True,False,,,
87,77316.0,1610612738.0,1977-11-24,True,False,,,
89,76971.0,1610612737.0,1977-11-29,False,True,,,
88,76598.0,1610612737.0,1977-11-29,False,True,,,
90,78308.0,1610612737.0,1977-11-29,True,False,,,
91,76055.0,1610612741.0,1978-01-07,False,True,,,
92,76222.0,1610612762.0,1978-02-01,False,True,,,
93,76213.0,1610612738.0,1978-02-10,False,True,finger,dislocation,
94,77490.0,1610612741.0,1978-02-17,False,True,,,
95,,1610612738.0,1978-02-23,True,False,,,
96,78028.0,1610612738.0,1978-02-24,False,True,,,
98,76213.0,1610612738.0,1978-03-03,True,False,,,
97,,1610612738.0,1978-03-03,False,True,,,
99,77290.0,,1978-03-07,False,True,,,
100,78188.0,1610612739.0,1978-10-01,False,True,knee,,
101,76027.0,1610612758.0,1978-10-11,False,True,,,
110,78217.0,1610612737.0,1978-10-12,False,True,,,
102,76895.0,,1978-10-12,False,True,,,
111,78143.0,1610612765.0,1978-10-12,False,True,,,
113,76465.0,1610612744.0,1978-10-12,False,True,,,
112,76413.0,1610612744.0,1978-10-12,False,True,,,
108,78516.0,1610612746.0,1978-10-12,False,True,,,
109,77844.0,1610612737.0,1978-10-12,False,True,,,
107,78028.0,1610612738.0,1978-10-12,False,True,,,
106,76059.0,1610612741.0,1978-10-12,False,True,,,
105,77302.0,1610612741.0,1978-10-12,False,True,,,
104,77147.0,1610612749.0,1978-10-12,False,True,,,
103,77420.0,,1978-10-12,False,True,,,
114,78036.0,1610612752.0,1978-10-29,True,False,,,
115,78202.0,,1978-10-31,True,False,,,
116,78436.0,1610612739.0,1978-10-31,False,True,,,
118,78028.0,1610612738.0,1978-11-01,True,False,,,
117,76104.0,1610612738.0,1978-11-01,False,True,,,
119,76750.0,1610612739.0,1978-11-14,False,True,,,
120,78436.0,1610612739.0,1978-11-14,True,False,,,
121,76471.0,1610612737.0,1978-12-15,True,False,,,
122,78143.0,1610612765.0,1978-12-28,True,False,,,
124,78143.0,1610612765.0,1979-01-13,False,True,respiratory,blood-clot,
123,77873.0,1610612765.0,1979-01-13,False,True,foot,sprain,
125,76054.0,1610612738.0,1979-01-14,False,True,,infection,
126,77873.0,1610612765.0,1979-01-23,True,False,,,
127,76027.0,1610612758.0,1979-02-01,True,False,,,
128,78387.0,,1979-02-08,False,True,,,
129,76421.0,1610612755.0,1979-02-12,False,True,,,
130,78188.0,1610612739.0,1979-02-15,True,False,,,
131,78481.0,1610612752.0,1979-02-20,False,True,,,
133,76059.0,1610612741.0,1979-02-23,True,False,,,
132,76607.0,1610612741.0,1979-02-23,False,True,,,
135,77324.0,,1979-02-26,True,False,,,
134,77848.0,,1979-02-26,False,True,,,
136,78481.0,1610612752.0,1979-03-01,True,False,,,
137,78442.0,,1979-03-01,False,True,,,
139,,1610612743.0,1979-04-01,True,False,,,
138,77532.0,1610612743.0,1979-04-01,False,True,,,
141,78188.0,1610612739.0,1979-10-08,False,True,,,
140,77356.0,1610612739.0,1979-10-08,False,True,,,
143,77732.0,1610612759.0,1979-10-10,False,True,,,
142,77258.0,1610612762.0,1979-10-10,False,True,knee,,
144,76739.0,1610612756.0,1979-10-10,False,True,,,
145,77950.0,1610612755.0,1979-10-11,False,True,,,
159,77623.0,1610612745.0,1979-10-11,False,True,,,
158,77353.0,1610612745.0,1979-10-11,False,True,,,
160,78199.0,1610612744.0,1979-10-11,False,True,,,
156,600010.0,1610612754.0,1979-10-11,False,True,,,
154,76656.0,1610612751.0,1979-10-11,False,True,,,
155,77320.0,1610612754.0,1979-10-11,False,True,,,
152,600006.0,1610612752.0,1979-10-11,False,True,hip,inflammation,
153,78481.0,1610612752.0,1979-10-11,False,True,knee,inflammation,
150,77450.0,,1979-10-11,False,True,,,
151,78436.0,1610612739.0,1979-10-11,False,True,,,
149,77324.0,,1979-10-11,False,True,,,
157,76685.0,1610612765.0,1979-10-11,False,True,ankle,sprain,
147,77420.0,,1979-10-11,False,True,,,
148,78331.0,,1979-10-11,False,True,leg,fracture,
146,78387.0,,1979-10-11,False,True,,,
162,76656.0,1610612751.0,1979-10-24,True,False,,,
161,,1610612751.0,1979-10-24,False,True,,,
163,77950.0,1610612755.0,1979-10-25,True,False,,,
164,78643.0,1610612754.0,1979-11-01,True,False,,,
165,76895.0,,1979-11-07,True,False,,,
166,77264.0,1610612762.0,1979-11-11,False,True,ankle,sprain,
167,77760.0,1610612746.0,1979-11-16,True,False,,,
169,76305.0,1610612758.0,1979-11-21,True,False,,,
168,76873.0,1610612758.0,1979-11-21,False,True,,,
170,77324.0,,1979-11-23,True,False,,,
171,2399.0,1610612745.0,1979-11-28,True,False,,,
172,78450.0,1610612746.0,1979-12-04,True,False,,,
174,76608.0,1610612765.0,1979-12-04,True,False,,,
173,77239.0,1610612765.0,1979-12-04,False,True,,,
175,76887.0,,1979-12-05,True,False,,,
177,78350.0,1610612745.0,1979-12-07,True,False,,,
176,76996.0,1610612745.0,1979-12-07,False,True,,,
178,76005.0,1610612744.0,1979-12-15,False,True,,,
179,77264.0,1610612762.0,1979-12-16,True,False,,,
180,77364.0,1610612737.0,1979-12-21,False,True,,,
181,76541.0,1610612762.0,1980-01-03,True,False,,,
182,76005.0,1610612744.0,1980-01-03,True,False,,,
183,77239.0,1610612765.0,1980-01-18,True,False,,,
185,78294.0,1610612739.0,1980-01-22,True,False,,,
184,78047.0,1610612739.0,1980-01-22,False,True,knee,,
186,77450.0,1610612746.0,1980-01-30,False,True,,,
187,77827.0,1610612759.0,1980-02-22,False,True,,,
188,78326.0,1610612743.0,1980-02-28,False,True,,,
191,77498.0,1610612765.0,1980-03-05,False,True,,,
192,76154.0,1610612765.0,1980-03-05,False,True,,,
190,77087.0,1610612752.0,1980-03-05,True,False,,,
193,76685.0,1610612765.0,1980-03-05,True,False,,,
189,78570.0,1610612752.0,1980-03-05,False,True,,,
194,76685.0,1610612765.0,1980-03-14,False,True,,,
195,76154.0,1610612765.0,1980-03-14,True,False,,,
196,76504.0,1610612762.0,1980-03-22,False,True,,,
199,,1610612743.0,1980-10-08,False,True,,,
198,76151.0,1610612758.0,1980-10-08,False,True,,,
197,78450.0,1610612746.0,1980-10-08,False,True,foot,,
200,77498.0,1610612765.0,1980-10-08,False,True,,,
201,76317.0,1610612756.0,1980-10-08,False,True,,,
202,78351.0,1610612755.0,1980-10-09,False,True,ankle,sprain,
207,78014.0,1610612737.0,1980-10-09,False,True,,,
211,77100.0,1610612747.0,1980-10-09,False,True,,,
206,76305.0,1610612737.0,1980-10-09,False,True,wrist,fracture,
209,77289.0,1610612752.0,1980-10-09,False,True,acl,tear,
208,76447.0,1610612752.0,1980-10-09,False,True,knee,sprain,
203,78387.0,,1980-10-09,False,True,,,
205,77373.0,1610612741.0,1980-10-09,False,True,,,
204,78245.0,,1980-10-09,False,True,,,
210,77808.0,1610612747.0,1980-10-09,False,True,,,
212,77373.0,1610612741.0,1980-10-23,True,False,,,
213,77373.0,1610612741.0,1980-11-03,False,True,,,
214,76355.0,1610612747.0,1980-11-05,False,True,,,
215,77100.0,1610612747.0,1980-11-05,True,False,,,
216,78575.0,,1980-11-06,False,True,,,
218,76305.0,1610612737.0,1980-11-07,True,False,,,
217,78014.0,1610612737.0,1980-11-07,False,True,,,
219,76619.0,1610612762.0,1980-11-10,False,True,knee,,
220,77331.0,1610612739.0,1980-11-17,True,False,,,
221,77331.0,1610612739.0,1980-11-18,True,False,,,
222,76421.0,1610612755.0,1980-11-21,False,True,knee,,
223,77420.0,1610612751.0,1980-11-21,True,False,,,
225,1381.0,1610612765.0,1980-12-05,False,True,,,
224,76351.0,1610612738.0,1980-12-05,False,True,,,
226,76786.0,1610612745.0,1980-12-09,False,True,,,
227,78274.0,1610612745.0,1980-12-09,True,False,,,
229,78000.0,1610612743.0,1980-12-10,False,True,,,
228,,1610612743.0,1980-12-10,False,True,,,
230,76500.0,,1980-12-16,False,True,,,
233,78500.0,,1980-12-18,True,False,,,
232,77498.0,1610612765.0,1980-12-18,True,False,,,
231,77239.0,1610612765.0,1980-12-18,False,True,,,
234,1381.0,1610612765.0,1980-12-21,False,True,knee,,
235,77498.0,1610612765.0,1980-12-29,False,True,,,
236,76604.0,1610612742.0,1981-01-02,False,True,,,
237,1381.0,1610612765.0,1981-01-02,True,False,,,
238,328.0,,1981-01-15,False,True,,,
239,78570.0,1610612752.0,1981-01-15,False,True,,,
241,76619.0,1610612762.0,1981-01-18,True,False,,,
240,76874.0,1610612762.0,1981-01-18,False,True,wrist,sprain,
242,78570.0,1610612752.0,1981-01-26,True,False,,,
243,76154.0,1610612765.0,1981-01-26,False,True,,,
245,76500.0,,1981-01-28,True,False,,,
244,76348.0,,1981-01-28,False,True,,,
246,77528.0,1610612737.0,1981-02-06,False,True,,,
247,77944.0,1610612759.0,1981-02-08,False,True,,,
249,77373.0,1610612741.0,1981-03-06,True,False,,,
248,77490.0,1610612741.0,1981-03-06,False,True,,,
250,600009.0,1610612751.0,1981-03-13,False,True,,,
252,,1610612743.0,1981-03-17,True,False,,,
251,77056.0,1610612743.0,1981-03-17,False,True,,,
253,76362.0,1610612752.0,1981-11-10,True,False,,,
254,77263.0,1610612751.0,1981-11-10,True,False,,,
255,76252.0,1610612749.0,1981-11-16,False,True,,,
256,76598.0,1610612737.0,1981-11-18,True,False,,,
257,76252.0,1610612749.0,1981-11-25,True,False,,,
258,78609.0,1610612762.0,1981-12-02,False,True,eye,hemmorhage,
259,77323.0,,1981-12-21,True,False,,,
260,77289.0,1610612752.0,1981-12-26,True,False,,,
261,77323.0,,1982-01-26,True,False,,,
262,77184.0,1610612765.0,1982-02-07,False,True,,,
263,76252.0,1610612749.0,1982-03-17,False,True,,,
264,77289.0,1610612752.0,1982-03-31,True,False,,,
266,78199.0,,1982-04-06,True,False,,,
265,77896.0,,1982-04-06,False,True,,,
267,77754.0,1610612751.0,1982-10-22,False,True,buttocks,bruise,
268,78325.0,1610612742.0,1982-10-26,False,True,elbow,chip,
269,76471.0,1610612749.0,1982-10-28,False,True,hip,inflammation,
271,78150.0,1610612739.0,1982-10-28,False,True,,,
270,76887.0,,1982-10-28,False,True,abdomen,pulled,
279,76771.0,1610612744.0,1982-10-28,False,True,,,
278,,1610612744.0,1982-10-28,False,True,,,
272,78468.0,1610612739.0,1982-10-28,False,True,,,
277,78183.0,1610612744.0,1982-10-28,False,True,,,
276,76625.0,1610612756.0,1982-10-28,False,True,arm,fracture,
274,77289.0,1610612752.0,1982-10-28,False,True,knee,,
275,77786.0,1610612765.0,1982-10-28,False,True,finger,break,
273,78047.0,1610612752.0,1982-10-28,False,True,acl,tear,
282,77135.0,1610612747.0,1982-10-29,False,True,,,
281,77689.0,1610612746.0,1982-10-29,False,True,,,
280,78204.0,1610612746.0,1982-10-29,False,True,,,
283,77135.0,1610612747.0,1982-11-08,True,False,,,
285,76471.0,1610612749.0,1982-11-10,True,False,,,
284,76365.0,1610612749.0,1982-11-10,False,True,knee,bruise,
286,,1610612744.0,1982-11-10,False,True,arm,break,
287,78183.0,1610612744.0,1982-11-10,True,False,,,
288,77786.0,1610612765.0,1982-11-24,True,False,,,
289,78369.0,1610612765.0,1982-11-26,False,True,knee,,
290,76154.0,1610612765.0,1982-11-28,False,True,knee,strain,
291,77618.0,1610612749.0,1982-12-10,False,True,ankle,sprain,
292,76154.0,1610612765.0,1982-12-20,True,False,,,
293,77553.0,1610612737.0,1982-12-21,True,False,,,
294,78600.0,1610612749.0,1982-12-26,False,True,hamstring,strain,
295,78325.0,1610612742.0,1982-12-27,True,False,,,
296,77235.0,1610612743.0,1982-12-29,False,True,,,
297,77618.0,1610612749.0,1983-01-06,True,False,,,
298,78395.0,,1983-01-07,False,True,foot,break,
299,78369.0,1610612765.0,1983-01-10,True,False,,,
300,78183.0,1610612744.0,1983-01-11,True,False,,,
301,77146.0,,1983-01-18,True,False,,,
302,77904.0,1610612759.0,1983-01-18,False,True,knee,,
305,77377.0,1610612765.0,1983-02-01,True,False,,,
304,78600.0,1610612749.0,1983-02-01,True,False,,,
303,76471.0,1610612749.0,1983-02-01,False,True,neck,infection,
306,77308.0,1610612756.0,1983-02-07,False,True,,,
307,76556.0,1610612758.0,1983-02-15,True,False,,,
308,77205.0,1610612747.0,1983-02-16,False,True,groin,pulled,
309,76154.0,1610612765.0,1983-02-17,False,True,knee,strain,
310,78303.0,1610612752.0,1983-02-23,False,True,nose,,
312,229.0,1610612756.0,1983-02-25,False,True,,,
311,78600.0,1610612749.0,1983-02-25,True,False,,,
313,78615.0,1610612741.0,1983-03-02,False,True,knee,tear,
315,78395.0,,1983-03-03,True,False,,,
314,,,1983-03-03,False,True,knee,,
316,77373.0,1610612741.0,1983-03-06,False,True,knee,fracture,
317,77205.0,1610612747.0,1983-03-08,True,False,,,
318,78395.0,,1983-03-12,False,True,,,
