id,full_name,avg_speed_per_game,avg_distance_per_game
708,Kevin Garnett,4.03,0.98
977,Kobe Bryant,3.86,1.81
1495,Tim Duncan,3.79,1.59
1713,Vince Carter,2.98,0.82
1717,Dirk Nowitzki,3.56,1.85
1718,Paul Pierce,3.23,0.97
1737,Nazr Mohammed,0.99,0.07
1882,Elton Brand,2.22,0.49
1889,Andre Miller,1.92,0.38
1891,Jason Terry,3.8,1.1
1897,Metta World Peace,2.48,0.69
1938,Manu Ginobili,4.13,1.35
2034,Mike Miller,2.2,0.32
2037,Jamal Crawford,3.92,1.75
2199,Tyson Chandler,3.57,1.45
2200,Pau Gasol,3.7,1.96
2207,Joe Johnson,4.18,2.31
2210,Richard Jefferson,3.61,1.07
2216,Zach Randolph,3.21,1.58
2225,Tony Parker,4.24,1.93
2365,Chris Andersen,1.69,0.42
2399,Mike Dunleavy,4.23,1.59
2400,Drew Gooden,1.78,0.3
2403,Nene Hilario,3.71,1.19
2405,Amar'e Stoudemire,2.98,0.73
2406,Caron Butler,0.81,0.14
2419,Tayshaun Prince,3.83,1.2
2440,Matt Barnes,3.98,1.91
2446,Rasual Butler,3.75,0.6
2449,Luis Scola,4.01,1.44
2544,LeBron James,3.71,2.19
2546,Carmelo Anthony,3.43,2.0
2547,Chris Bosh,3.82,2.12
2548,Dwyane Wade,3.66,1.86
2549,Chris Kaman,0.81,0.1
2550,Kirk Hinrich,2.85,0.66
2555,Nick Collison,3.05,0.6
2561,David West,3.7,1.1
2563,Dahntay Jones,4.24,2.99
2564,Boris Diaw,4.27,1.29
2570,Kendrick Perkins,2.28,0.55
2571,Leandro Barbosa,4.02,1.06
2581,Steve Blake,3.1,0.88
2585,Zaza Pachulia,3.89,1.7
2588,Matt Bonner,2.98,0.35
2590,Mo Williams,2.84,0.86
2592,James Jones,2.45,0.4
2594,Kyle Korver,4.37,2.17
2617,Udonis Haslem,1.71,0.2
2730,Dwight Howard,3.36,1.79
2733,Shaun Livingston,4.29,1.39
2734,Devin Harris,3.98,1.32
2736,Luol Deng,4.26,2.29
2738,Andre Iguodala,3.98,1.76
2743,Kris Humphries,3.84,1.0
2744,Al Jefferson,3.52,1.36
2746,Josh Smith,2.64,0.7
2747,JR Smith,3.89,1.97
2748,Dorell Wright,0.0,0.0
2749,Jameer Nelson,2.28,1.0
2754,Tony Allen,3.27,1.37
2755,Kevin Martin,3.0,0.99
2756,Sasha Vujacic,3.34,0.82
2757,Beno Udrih,3.31,0.89
2760,Anderson Varejao,2.89,0.45
2772,Trevor Ariza,4.01,2.35
101106,Andrew Bogut,3.58,1.23
101107,Marvin Williams,4.19,2.01
101108,Chris Paul,3.67,1.99
101109,Raymond Felton,4.11,1.87
101111,Charlie Villanueva,3.19,0.58
101112,Channing Frye,3.47,0.98
101114,Deron Williams,3.68,1.97
101123,Gerald Green,3.85,1.45
101126,Nate Robinson,4.39,0.84
101127,Jarrett Jack,4.08,2.16
101133,Ian Mahinmi,3.68,1.56
101135,David Lee,2.91,0.79
101138,Brandon Bass,3.48,1.18
101139,CJ Miles,3.32,1.26
101141,Ersan Ilyasova,3.71,1.56
101145,Monta Ellis,4.05,2.27
101150,Lou Williams,3.57,1.69
101161,Amir Johnson,4.0,1.51
101162,Marcin Gortat,4.12,2.07
101179,Ronnie Price,3.9,1.26
101181,Jose Calderon,4.21,1.96
101187,Alan Anderson,4.17,1.01
101236,Chuck Hayes,1.63,0.32
200745,Andrea Bargnani,3.7,0.85
200746,LaMarcus Aldridge,3.92,2.0
200751,Randy Foye,4.05,1.36
200752,Rudy Gay,3.6,2.03
200755,JJ Redick,4.18,1.93
200757,Thabo Sefolosha,4.18,1.63
200765,Rajon Rondo,3.61,2.12
200768,Kyle Lowry,3.76,2.31
200770,Jordan Farmar,4.37,1.76
200779,Steve Novak,1.08,0.08
200782,P.J. Tucker,4.09,2.09
200794,Paul Millsap,4.2,2.28
200797,Ryan Hollins,3.34,0.69
200811,Lou Amundson,1.85,0.22
200826,J.J. Barea,4.23,1.57
201142,Kevin Durant,3.67,2.19
201143,Al Horford,4.06,2.16
201144,Mike Conley,3.71,1.94
201145,Jeff Green,3.96,1.85
201147,Corey Brewer,4.4,1.49
201148,Brandan Wright,1.15,0.34
201149,Joakim Noah,3.59,1.31
201150,Spencer Hawes,3.46,1.04
201152,Thaddeus Young,4.18,2.29
201155,Rodney Stuckey,3.38,1.24
201156,Nick Young,2.85,0.91
201158,Marco Belinelli,3.89,1.58
201160,Jason Smith,4.04,1.02
201162,Jared Dudley,4.31,1.85
201166,Aaron Brooks,3.46,0.92
201167,Arron Afflalo,3.89,2.16
201168,Tiago Splitter,4.09,1.09
201171,Carl Landry,2.31,0.61
201177,Josh McRoberts,3.13,0.73
201188,Marc Gasol,3.65,2.09
201196,Ramon Sessions,4.25,1.43
201202,Joel Anthony,0.98,0.08
201228,C.J. Watson,3.65,1.2
201229,Anthony Tolliver,3.73,1.15
201563,Michael Beasley,4.17,1.25
201564,O.J. Mayo,2.88,1.27
201565,Derrick Rose,3.62,1.91
201566,Russell Westbrook,4.06,2.32
201567,Kevin Love,3.77,1.97
201568,Danilo Gallinari,3.89,2.24
201569,Eric Gordon,3.5,1.92
201571,D.J. Augustin,3.12,0.98
201572,Brook Lopez,3.6,2.01
201573,Jerryd Bayless,3.23,1.55
201574,Jason Thompson,2.58,0.44
201575,Brandon Rush,4.09,1.0
201577,Robin Lopez,4.18,1.88
201578,Marreese Speights,3.42,0.66
201579,Roy Hibbert,4.09,1.57
201580,JaVale McGee,2.48,0.45
201581,JJ Hickson,1.94,0.4
201582,Alexis Ajinca,3.06,0.73
201583,Ryan Anderson,3.35,1.69
201584,Courtney Lee,4.07,2.0
201585,Kosta Koufos,4.09,1.28
201586,Serge Ibaka,3.91,2.09
201587,Nicolas Batum,3.91,2.27
201588,George Hill,3.8,2.16
201589,Darrell Arthur,3.56,1.28
201593,Nikola Pekovic,3.69,0.79
201596,Mario Chalmers,4.11,1.53
201599,DeAndre Jordan,3.63,2.04
201600,Omer Asik,3.36,0.96
201601,Luc Mbah a Moute,3.79,1.11
201603,Sonny Weems,2.58,0.5
201609,Goran Dragic,4.22,2.3
201619,Sasha Kaun,1.65,0.11
201627,Anthony Morrow,3.53,0.79
201933,Blake Griffin,3.52,1.95
201935,James Harden,3.86,2.44
201936,Tyreke Evans,2.66,1.35
201937,Ricky Rubio,4.2,2.13
201939,Stephen Curry,4.16,2.37
201941,Jordan Hill,3.66,1.25
201942,DeMar DeRozan,3.93,2.35
201943,Brandon Jennings,3.81,1.14
201945,Gerald Henderson,4.25,1.4
201946,Tyler Hansbrough,2.18,0.29
201949,James Johnson,3.21,0.87
201950,Jrue Holiday,3.52,1.65
201951,Ty Lawson,3.64,1.29
201952,Jeff Teague,4.02,1.9
201954,Darren Collison,4.03,2.0
201956,Omri Casspi,3.82,1.73
201959,Taj Gibson,3.69,1.62
201960,DeMarre Carroll,2.92,1.46
201961,Wayne Ellington,4.08,1.44
201962,Toney Douglas,3.76,1.28
201965,Jeff Ayres,2.75,0.29
201967,Dante Cunningham,4.47,1.82
201971,DeJuan Blair,2.18,0.28
201973,Jonas Jerebko,4.27,1.08
201975,Jodie Meeks,1.53,0.36
201976,Patrick Beverley,4.3,2.05
201977,Marcus Thornton,3.49,1.04
201978,Chase Budinger,3.54,0.83
201980,Danny Green,4.44,1.92
201988,Patty Mills,4.73,1.61
202066,Garrett Temple,4.3,1.76
202083,Wesley Matthews,4.09,2.3
202087,Alonzo Gee,4.09,1.51
202322,John Wall,4.01,2.4
202323,Evan Turner,4.02,1.88
202324,Derrick Favors,3.11,1.66
202325,Wesley Johnson,4.24,1.47
202326,DeMarcus Cousins,3.14,1.81
202328,Greg Monroe,3.8,1.85
202329,Al-Farouq Aminu,4.4,2.08
202330,Gordon Hayward,4.17,2.5
202331,Paul George,4.23,2.45
202332,Cole Aldrich,3.11,0.68
202334,Ed Davis,4.2,1.45
202335,Patrick Patterson,3.89,1.64
202337,Luke Babbitt,2.5,0.77
202338,Kevin Seraphin,2.52,0.46
202339,Eric Bledsoe,4.31,2.44
202340,Avery Bradley,4.14,2.3
202341,James Anderson,2.68,0.64
202343,Elliot Williams,4.49,0.68
202344,Trevor Booker,4.19,1.44
202347,Quincy Pondexter,0.0,0.0
202349,Greivis Vasquez,4.04,1.34
202353,Tibor Pleiss,1.35,0.16
202355,Hassan Whiteside,3.78,1.81
202357,Nemanja Bjelica,3.31,0.98
202362,Lance Stephenson,3.45,1.13
202379,Jeremy Evans,2.42,0.35
202388,Donald Sloan,3.38,1.19
202389,Timofey Mozgov,4.13,1.19
202390,Gary Neal,3.34,1.12
202391,Jeremy Lin,4.11,1.79
