personId,firstName,familyName,speed,distance,full_name
202706,Jordan,Hamilton,4.36,2.51,Jordan Hamilton
201967,Dante,Cunningham,4.42,2.57,Dante Cunningham
201600,Omer,Asik,3.94,2.1,Omer Asik
203516,James,Ennis III,4.53,3.0,James Ennis III
201962,Toney,Douglas,4.78,3.37,Toney Douglas
2570,Kendrick,Perkins,3.76,1.27,Kendrick Perkins
204025,Tim,Frazier,4.3,2.58,Tim Frazier
201582,Alexis,Ajinca,0.0,0.0,Alexis Ajinca
201583,Ryan,Anderson,0.0,0.0,Ryan Anderson
202337,Luke,Babbitt,0.0,0.0,Luke Babbitt
202708,Norris,Cole,0.0,0.0,Norris Cole
202087,Alonzo,Gee,0.0,0.0,Alonzo Gee
201950,Jrue,Holiday,0.0,0.0,Jrue Holiday
203952,Andrew,Wiggins,4.14,2.28,Andrew Wiggins
203476,Gorgui,Dieng,4.22,2.3,Gorgui Dieng
1626157,Karl-Anthony,Towns,4.2,2.24,Karl-Anthony Towns
203897,Zach,LaVine,4.58,2.35,Zach LaVine
201937,Ricky,Rubio,4.38,1.62,Ricky Rubio
1626145,Tyus,Jones,4.4,1.89,Tyus Jones
203498,Shabazz,Muhammad,4.3,1.66,Shabazz Muhammad
202357,Nemanja,Bjelica,4.26,1.33,Nemanja Bjelica
204014,Damjan,Rudez,4.49,0.66,Damjan Rudez
203940,Adreian,Payne,3.93,0.42,Adreian Payne
202962,Greg,Smith,3.58,0.38,Greg Smith
2419,Tayshaun,Prince,0.0,0.0,Tayshaun Prince
203937,Kyle,Anderson,4.16,2.11,Kyle Anderson
2588,Matt,Bonner,3.99,1.51,Matt Bonner
1626246,Boban,Marjanovic,3.76,2.31,Boban Marjanovic
201980,Danny,Green,4.16,1.86,Danny Green
1889,Andre,Miller,3.67,1.72,Andre Miller
2755,Kevin,Martin,3.93,1.58,Kevin Martin
203613,Jonathon,Simmons,4.14,2.12,Jonathon Simmons
2564,Boris,Diaw,3.95,1.32,Boris Diaw
201988,Patty,Mills,4.43,1.48,Patty Mills
200746,LaMarcus,Aldridge,0.0,0.0,LaMarcus Aldridge
202695,Kawhi,Leonard,0.0,0.0,Kawhi Leonard
2225,Tony,Parker,0.0,0.0,Tony Parker
2561,David,West,0.0,0.0,David West
1626147,Justin,Anderson,4.29,2.15,Justin Anderson
1717,Dirk,Nowitzki,3.51,1.97,Dirk Nowitzki
2585,Zaza,Pachulia,3.71,1.83,Zaza Pachulia
202083,Wesley,Matthews,4.04,2.71,Wesley Matthews
101114,Deron,Williams,4.13,2.51,Deron Williams
101109,Raymond,Felton,3.87,2.15,Raymond Felton
101135,David,Lee,4.3,0.52,David Lee
101111,Charlie,Villanueva,4.19,1.05,Charlie Villanueva
1626257,Salah,Mejri,4.17,0.78,Salah Mejri
203939,Dwight,Powell,4.25,0.2,Dwight Powell
200826,J.J.,Barea,0.0,0.0,J.J. Barea
2734,Devin,Harris,0.0,0.0,Devin Harris
201580,JaVale,McGee,0.0,0.0,JaVale McGee
2440,Matt,Barnes,4.61,2.43,Matt Barnes
2216,Zach,Randolph,3.97,1.7,Zach Randolph
2365,Chris,Andersen,4.43,0.59,Chris Andersen
1713,Vince,Carter,4.12,1.58,Vince Carter
200770,Jordan,Farmar,4.86,1.74,Jordan Farmar
