injury_id,Date,Team,Acquired,Relinquished,Notes,player_name,player_id,body_region
0,1951-12-25,Bullets,,Don Barksdale,placed on IL,Don Barksdale,76102.0,
1,1952-12-26,Knicks,,Max Zaslofsky,placed on IL with torn side muscle,Max Zaslofsky,78638.0,side
2,1956-12-29,Knicks,,Jim Baechtold,placed on inactive list,Jim Baechtold,76081.0,
3,1959-01-16,Lakers,,Elgin Baylor,player refused to play after being denied a room in team's hotel,Elgin Baylor,76127.0,
4,1961-11-26,Lakers,,Elgin Baylor,player reported for military duty,Elgin Baylor,76127.0,
5,1962-03-24,Lakers,Elgin Baylor,,player given 2-day pass from military duty,Elgin Baylor,76127.0,
6,1962-03-31,Lakers,Elgin Baylor,,player given weekend pass from military duty,Elgin Baylor,76127.0,
7,1962-10-25,Zephyrs,,Al Ferrari,placed on disabled list,Al Ferrari,76708.0,
8,1962-11-06,Zephyrs,Al Ferrari,,activated from disabled list,Al Ferrari,76708.0,
9,1962-11-14,Zephyrs,,Al Ferrari,placed on disabled list with knee injury,Al Ferrari,76708.0,knee
10,1965-09-11,Pistons,,Terry Dischinger,service in army (date approximate),Terry Dischinger,76577.0,
11,1969-10-15,Bucks,,Bob Greacen,placed on IL with sprained ankle,Bob Greacen,76865.0,ankle
12,1969-10-28,Bucks,Bob Greacen,,activated from IL,Bob Greacen,76865.0,
13,1969-12-03,Bucks,,John Arthurs,deployed to National Guard for remainder of the season,John Arthurs,76065.0,
14,1970-01-24,Bucks,,Guy Rodgers,placed on IL with torn leg muscle,Guy Rodgers,78003.0,leg
15,1971-09-15,Colonels (ABA),,Jim Welch / Poo Welch,placed on IL,Jim Welch / Poo Welch,,
16,1971-10-30,Squires (ABA),Doug Moe,,"""activated""",Doug Moe,,
17,1971-11-08,Chaparrals (ABA),Eugene Kennedy / Gene Kennedy / Goo Kennedy,,"""activated""",Eugene Kennedy / Gene Kennedy / Goo Kennedy,77243.0,
18,1972-10-10,Cavaliers,,Bobby Washington,placed on IL,Bobby Washington,78469.0,
19,1972-11-04,Cavaliers,,Rick Roberson,placed on IL with pulled hamstring,Rick Roberson,77973.0,hamstring
20,1972-11-10,Tams (ABA),,Merv Jackson,placed on IL,Merv Jackson,,
21,1972-11-11,Tams (ABA),,Randy Denton,placed on IL,Randy Denton,76558.0,
22,1972-11-28,Tams (ABA),Merv Jackson,,activated from IL,Merv Jackson,,
23,1972-12-16,Tams (ABA),Randy Denton,,activated from IL,Randy Denton,76558.0,
24,1973-02-24,Kings,,John Green (a) / Johnny Green,placed on IL,John Green (a) / Johnny Green,76867.0,
25,1973-02-24,Kings,Frank Schade,,activated from IL,Frank Schade,78069.0,
26,1973-03-19,Bulls,Tom Boerwinkle,,activated from IL,Tom Boerwinkle,76192.0,
27,1973-11-07,Rockets,George Johnson (E.),,"""activated""",George Johnson (E.),77147.0,
28,1973-11-17,Kings,,Mike D'Antoni,placed on IL with fractured right hand,Mike D'Antoni,76505.0,hand
29,1973-12-20,Kings,Mike D'Antoni,,activated from IL,Mike D'Antoni,76505.0,
30,1973-12-22,Knicks,Earl Monroe,,"""activated""",Earl Monroe,600006.0,
31,1974-01-31,Nets (ABA),Jim O'Brien (M.),,"""activated""",Jim O'Brien (M.),,
32,1974-03-27,Bucks,,Lucius Allen,placed on IL with torn cartilage in knee (out for season),Lucius Allen,76027.0,knee
33,1974-03-27,Bucks,Dick Cunningham,,activated from IL,Dick Cunningham,76485.0,
34,1974-10-16,Bucks,,Kareem Abdul-Jabbar / Lew Alcindor,placed on IL with fractured right hand and lacerated left eye,Kareem Abdul-Jabbar / Lew Alcindor,76003.0,"eye,hand"
35,1974-10-16,Bucks,Dick Cunningham,,activated from IL,Dick Cunningham,76485.0,
36,1974-10-17,Spirits (ABA),Gilbert McGregor / Gil McGregor,,"""activated""",Gilbert McGregor / Gil McGregor,77534.0,
37,1974-10-28,Bucks,,Dick Cunningham,placed on IL,Dick Cunningham,76485.0,
38,1974-10-28,Knicks,,Melvin Davis / Mel Davis,placed on IL with shoulder injury,Melvin Davis / Mel Davis,76529.0,shoulder
39,1974-10-28,Knicks,Howard Porter,,activated from IL,Howard Porter,77875.0,
40,1974-11-05,Colonels (ABA),John Roche,,activated from IR,John Roche,78000.0,
41,1974-11-07,Spirits (ABA),,Bernie Fryer,placed on IL with torn thigh muscle,Bernie Fryer,76761.0,thigh
42,1974-11-14,Knicks,Melvin Davis / Mel Davis,,"""restored to active list""",Melvin Davis / Mel Davis,76529.0,
43,1974-11-21,Colonels (ABA),,Ted McClain,placed on IR with torn calf muscle,Ted McClain,,calf
44,1974-12-05,Hawks,,Lou Hudson,placed on IL with right elbow inflammation,Lou Hudson,77074.0,elbow
45,1975-01-23,Spirits (ABA),,Mike Barr,placed on IL with viral illness,Mike Barr,76112.0,
46,1975-02-25,Stars (ABA),Henry Wilmore,,"""reactivated""",Henry Wilmore,,
47,1975-03-07,Celtics,Phil Hankinson,,"""activated""",Phil Hankinson,76936.0,
48,1975-10-20,Braves,,Tom McMillen,placed on IL with bruised right heel,Tom McMillen,77553.0,heel
49,1975-10-22,76ers,,LeRoy Ellis,placed on IL,LeRoy Ellis,76663.0,
50,1975-10-22,Knicks,,Larry Fogle,placed on IL,Larry Fogle,76728.0,
51,1975-10-22,Pistons,,Terry Thomas,placed on IL,Terry Thomas,78322.0,
52,1975-11-11,Braves,Tom McMillen,,activated from IL,Tom McMillen,77553.0,
53,1975-11-24,Knicks,Larry Fogle,,activated from IL,Larry Fogle,76728.0,
